Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19106.500000000007,229278.00,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Master Database,Amazon RDS for MySQL,0,5422.48,65069.76,USD,,"Storage amount (10000 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (10000 GB)"
My Estimate,US East (N. Virginia),Replica Database,Amazon RDS for MySQL,0,4472.48,53669.76,USD,,"Storage amount (10000 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),Web Server,Amazon EC2 ,0,2974.88,35698.56,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5.18xlarge), Pricing strategy ( 1yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2 ,0,2974.88,35698.56,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5.18xlarge), Pricing strategy (EC2 Instance Savings Plans 1yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Balancer,Application Load Balancer,0,500.05,6000.60,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),VPC,VPN Connection,0,275,3300.00,USD,,Working days per month (22)
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),VPC,Public IPv4 Address,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),VPC,Gateway Load Balancer,0,71.18,854.16,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (1), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (10 GB per hour)"
My Estimate,US East (N. Virginia),,S3 Standard,0,2251.2,27014.40,USD,,S3 Standard storage (100000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,85,1020.00,USD,,Data transfer out to internet (1000 GB per month)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,1,12.00,USD,,Hosted Zones (2)
My Estimate,US East (N. Virginia),Amazon CloudWatch,Amazon CloudWatch,0,78.35000000000001,940.20,USD,,"Number of Metrics (includes detailed and custom metrics) (8), GetMetricData: Number of metrics requested (50000), Logs Delivered to CloudWatch Logs: Data Ingested (100 GB), Logs Delivered to S3: Data Ingested (100 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
