Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,6022.35,72268.2,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Master Database,Amazon RDS for MySQL,0,1052.226,12626.71,USD,,"Storage amount (1000 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),Replica Database,Amazon RDS for MySQL,0,957.226,11486.71,USD,,"Storage amount (1000 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
My Estimate,US East (N. Virginia),Web Server,Amazon EC2 ,0,1425.82,17109.84,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5a.8xlarge), Pricing strategy (EC2 Instance Savings Plans 1yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2 ,0,1425.82,17109.84,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5a.8xlarge), Pricing strategy (EC2 Instance Savings Plans 1yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (1000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Balancer,Application Load Balancer,0,56.21,674.52,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),VPC,VPN Connection,0,603.5,7242,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,35.55,426.6,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),VPC,Public IPv4 Address,0,0,0,USD,,
My Estimate,US East (N. Virginia),VPC,Gateway Load Balancer,0,273.99,3287.88,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (2 GB per hour), Average number of new connections/flows (50000 per second)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,46,552,USD,,S3 Standard storage (2000 GB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0,USD,,
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,105,1260,USD,,"Data transfer out to internet (1000 GB per month), Data transfer out to origin (1000 GB per month)"
My Estimate,US East (N. Virginia),Route53,Amazon Route 53,0,41,492,USD,,Hosted Zones (2)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
I choose reserved EC2 instances and RDS instances to reduce the cost,,,,,,,,,
-EC2 instances: Reserved 1yr No Upfront,,,,,,,,,
-RDS instances: Reserved 1yr No Upfront,,,,,,,,,
